2026-05-31 13:04:11 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:04:11 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:05:41 | INFO     | bot                    | ============================================================
2026-05-31 13:05:41 | INFO     | bot                    | NexusTrade Bot Starting
2026-05-31 13:05:41 | INFO     | bot                    | Mode: DEMO
2026-05-31 13:05:41 | INFO     | bot                    | Markets: R_100, R_75, R_50, R_25
2026-05-31 13:05:41 | INFO     | bot                    | ============================================================
2026-05-31 13:05:41 | INFO     | db.trade_logger        | Database initialized: data/nexustrade.db
2026-05-31 13:05:41 | INFO     | core.deriv_client      | Connecting to Deriv API (DEMO)...
2026-05-31 13:05:42 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:05:42 | WARNING  | bot                    | API disconnected — awaiting reconnect
2026-05-31 13:05:42 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:05:44 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:05:44 | WARNING  | bot                    | API disconnected — awaiting reconnect
2026-05-31 13:05:44 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:05:46 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:05:46 | WARNING  | bot                    | API disconnected — awaiting reconnect
2026-05-31 13:05:46 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:05:49 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:05:49 | WARNING  | bot                    | API disconnected — awaiting reconnect
2026-05-31 13:05:49 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:05:51 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:05:51 | WARNING  | bot                    | API disconnected — awaiting reconnect
2026-05-31 13:05:51 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:05:53 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:05:53 | WARNING  | bot                    | API disconnected — awaiting reconnect
2026-05-31 13:05:53 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:05:55 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:05:55 | WARNING  | bot                    | API disconnected — awaiting reconnect
2026-05-31 13:05:55 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:05:57 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:05:57 | WARNING  | bot                    | API disconnected — awaiting reconnect
2026-05-31 13:05:57 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
